Integer|*Numero;String|Nombre;String|Apellido;Integer|ID;
0                  |Marco              |Tomtate            |95                 
1                  |Deku               |Borjas             |73                 
2                  |Deku               |Sanchez            |47                 
3                  |Brownie            |Tomtate            |20                 
4                  |Goku               |Tomtate            |9                  
5                  |Maria              |Murcia             |32                 
6                  |Marco              |Soto               |9                  
7                  |Ricardo            |Ruth               |0                  
8                  |Goku               |Sanchez            |4                  
9                  |Brownie            |Borjas             |95                 
10                 |Goku               |Sanchez            |99                 
11                 |Goku               |Mata               |27                 
12                 |Ramon              |Sula               |70                 
13                 |Maria              |Murcia             |29                 
14                 |Maria              |Murcia             |5                  
15                 |Goku               |Ruth               |61                 
16                 |Michell            |Borjas             |53                 
17                 |Brownie            |Matamoros          |95                 
18                 |Maria              |Soto               |50                 
19                 |Ana                |Ordoñez            |1                  
20                 |Omar               |Tomtate            |87                 
21                 |David              |Sanchez            |50                 
22                 |Diego              |Murcia             |82                 
23                 |Ana                |Borjas             |98                 
24                 |Marco              |Kurosaki           |53                 
25                 |Ana                |Sanchez            |4                  
26                 |Ricardo            |Ordoñez            |24                 
27                 |Brownie            |Mata               |48                 
28                 |Maria              |Borjas             |40                 
29                 |Maria              |Ruth               |26                 
30                 |Brownie            |Soto               |7                  
31                 |Deku               |Murcia             |48                 
32                 |Ricardo            |Borjas             |73                 
33                 |Deku               |Soto               |45                 
34                 |Ana                |Tomtate            |71                 
35                 |Michell            |Sula               |71                 
36                 |Omar               |Borjas             |38                 
37                 |Marco              |Borjas             |76                 
38                 |Michell            |Suazo              |88                 
39                 |Ricardo            |Ordoñez            |91                 
40                 |Maria              |Matamoros          |37                 
41                 |Maria              |Suazo              |78                 
42                 |Marco              |Sula               |61                 
43                 |Michell            |Mata               |96                 
44                 |Omar               |Kurosaki           |30                 
45                 |Marco              |Murcia             |23                 
46                 |Diego              |Borjas             |11                 
47                 |Michell            |Mata               |87                 
48                 |Ana                |Tomtate            |45                 
49                 |Ana                |Suazo              |18                 
50                 |Deku               |Ruth               |53                 
51                 |Goku               |Mata               |57                 
52                 |Omar               |Tomtate            |90                 
53                 |Deku               |Matamoros          |30                 
54                 |Brownie            |Sanchez            |34                 
55                 |David              |Matamoros          |47                 
56                 |Deku               |Sula               |58                 
57                 |David              |Ordoñez            |34                 
58                 |Deku               |Suazo              |31                 
59                 |Ana                |Suazo              |29                 
60                 |Ramon              |Suazo              |70                 
61                 |Brownie            |Mata               |80                 
62                 |Maria              |Sanchez            |47                 
63                 |Omar               |Suazo              |26                 
64                 |Ramon              |Kurosaki           |19                 
65                 |Ramon              |Murcia             |69                 
66                 |Michell            |Soto               |40                 
67                 |Ramon              |Tomtate            |8                  
68                 |Michell            |Sula               |61                 
69                 |Ricardo            |Mata               |29                 
70                 |Maria              |Murcia             |14                 
71                 |Michell            |Murcia             |89                 
72                 |Michell            |Matamoros          |53                 
73                 |Ana                |Soto               |49                 
74                 |Maria              |Sula               |8                  
75                 |Omar               |Ruth               |33                 
76                 |Ramon              |Suazo              |70                 
77                 |Ramon              |Suazo              |41                 
78                 |Ramon              |Ordoñez            |31                 
79                 |David              |Sanchez            |13                 
80                 |David              |Tomtate            |29                 
81                 |Omar               |Sula               |12                 
82                 |Omar               |Murcia             |17                 
83                 |Diego              |Ruth               |22                 
84                 |Goku               |Mata               |8                  
85                 |Omar               |Suazo              |2                  
86                 |Ana                |Kurosaki           |67                 
